,DateTimeInterval,LotNumber,ActiveCarsCount
382860,2021-05-23 02:00:00,6,6
605346,2025-02-16 03:00:00,33,2
380457,2021-02-11 23:00:00,6,20
1025871,2021-02-26 12:00:00,90,0
694532,2022-04-26 02:00:00,4,0
225446,2025-01-28 09:00:00,30,82
336452,2024-10-02 12:00:00,20,128
352209,2022-03-23 00:00:00,60,7
174854,2023-08-20 10:00:00,50,147
800423,2021-05-30 02:00:00,34,0
508704,2022-10-05 11:00:00,3,122
928261,2023-01-03 13:00:00,51,26
436577,2023-03-11 06:00:00,13,6
386047,2021-10-02 21:00:00,6,17
156468,2021-07-15 08:00:00,50,47
814697,2023-01-14 20:00:00,34,1
81222,2021-08-11 04:00:00,80,48
212452,2023-08-05 23:00:00,30,106
412544,2024-10-10 22:00:00,6,65
100829,2023-11-06 03:00:00,80,58
552391,2023-06-01 17:00:00,9,2
145485,2024-08-11 18:00:00,70,281
704671,2023-06-22 13:00:00,4,24
362500,2023-05-25 19:00:00,60,4
969607,2023-05-25 06:00:00,65,0
953103,2021-07-06 14:00:00,65,0
895263,2023-07-28 16:00:00,8,9
459108,2021-06-07 00:00:00,99,3
208147,2023-02-07 14:00:00,30,112
1069765,2021-11-01 09:00:00,94,0
921421,2022-03-24 13:00:00,51,18
570367,2021-02-19 16:00:00,33,4
980725,2024-08-30 12:00:00,65,0
727456,2021-09-28 21:00:00,40,111
227877,2021-01-09 15:00:00,10,29
243824,2022-11-05 02:00:00,10,4
487880,2024-09-17 20:00:00,99,0
413046,2024-10-31 20:00:00,6,70
207235,2022-12-31 14:00:00,30,70
441698,2023-10-10 15:00:00,13,103
491593,2025-02-19 13:00:00,99,29
425218,2021-11-22 23:00:00,13,8
451117,2024-11-06 02:00:00,13,5
729663,2021-12-29 20:00:00,40,57
102773,2024-01-26 03:00:00,80,68
38195,2021-01-11 10:00:00,97,9
212348,2023-08-01 15:00:00,30,121
1001021,2022-08-26 03:00:00,38,0
693957,2022-04-02 03:00:00,4,0
216958,2024-02-09 17:00:00,30,85
1046941,2023-07-24 10:00:00,90,0
300692,2025-01-01 13:00:00,11,19
1014354,2024-03-03 16:00:00,38,0
507685,2022-08-24 00:00:00,3,10
187409,2025-01-24 13:00:00,50,47
964950,2022-11-12 05:00:00,65,0
995097,2021-12-22 07:00:00,38,0
349225,2021-11-18 16:00:00,60,10
65346,2024-02-16 17:00:00,97,9
542820,2022-04-28 22:00:00,9,1
43345,2021-08-14 00:00:00,97,5
1059490,2024-12-28 07:00:00,90,0
298699,2024-10-10 12:00:00,11,387
418656,2021-02-22 13:00:00,13,70
561966,2024-07-04 16:00:00,9,0
869298,2024-12-08 20:00:00,18,9
978602,2024-06-03 01:00:00,65,0
842535,2021-11-19 17:00:00,18,5
920644,2022-02-20 04:00:00,51,0
373070,2024-08-08 05:00:00,60,1
85801,2022-02-17 23:00:00,80,67
395213,2022-10-19 19:00:00,6,68
743380,2023-07-24 09:00:00,40,117
310527,2021-10-18 07:00:00,20,31
394374,2022-09-14 20:00:00,6,41
951466,2021-04-29 09:00:00,65,0
656167,2022-04-08 14:00:00,56,7
1057042,2024-09-17 07:00:00,90,0
597178,2024-03-12 19:00:00,33,5
435885,2023-02-10 10:00:00,13,90
307291,2021-06-05 11:00:00,20,5
987957,2021-02-27 19:00:00,38,0
12594,2022-06-09 18:00:00,21,23
830732,2024-11-12 23:00:00,34,1
318050,2022-08-27 18:00:00,20,6
474929,2023-03-28 05:00:00,99,1
876663,2021-06-13 16:00:00,8,1
473647,2023-02-02 19:00:00,99,2
1040597,2022-11-02 02:00:00,90,0
895247,2023-07-28 00:00:00,8,7
1001423,2022-09-11 21:00:00,38,0
307822,2021-06-27 14:00:00,20,4
180612,2024-04-16 08:00:00,50,97
601344,2024-09-02 09:00:00,33,0
429570,2022-05-23 07:00:00,13,34
768621,2022-02-10 01:00:00,24,5
10998,2022-04-04 06:00:00,21,2
863235,2024-03-31 05:00:00,18,6
602206,2024-10-08 07:00:00,33,5
645288,2021-01-10 07:00:00,56,1
923177,2022-06-05 17:00:00,51,1
1059833,2025-01-11 14:00:00,90,0
455039,2025-04-18 12:00:00,13,114
976029,2024-02-16 20:00:00,65,0
559546,2024-03-25 20:00:00,9,1
859062,2023-10-09 08:00:00,18,36
593948,2023-10-30 05:00:00,33,0
695400,2022-06-01 06:00:00,4,4
822608,2023-12-10 11:00:00,34,4
1000889,2022-08-20 15:00:00,38,0
1096290,2024-11-10 14:00:00,94,0
875714,2021-05-05 03:00:00,8,0
437009,2023-03-29 06:00:00,13,14
1077550,2022-09-21 18:00:00,94,0
45856,2021-11-26 15:00:00,97,3
444417,2024-01-31 22:00:00,13,12
244752,2022-12-13 18:00:00,10,106
1070018,2021-11-11 22:00:00,94,0
45081,2021-10-25 08:00:00,97,12
379555,2021-01-05 09:00:00,6,61
811691,2022-09-11 14:00:00,34,2
470588,2022-09-28 08:00:00,99,22
468744,2022-07-13 12:00:00,99,17
1067494,2021-07-29 18:00:00,94,0
643266,2025-02-15 02:00:00,14,6
952783,2021-06-23 06:00:00,65,0
157346,2021-08-20 22:00:00,50,9
18705,2023-02-19 09:00:00,21,3
675458,2024-06-20 09:00:00,56,2
192113,2021-04-10 12:00:00,30,73
743675,2023-08-05 16:00:00,40,15
406298,2024-01-24 16:00:00,6,107
242633,2022-09-16 11:00:00,10,285
760400,2021-03-04 12:00:00,24,23
202337,2022-06-10 12:00:00,30,71
256169,2024-04-02 11:00:00,10,467
840223,2021-08-15 09:00:00,18,1
640000,2024-10-02 00:00:00,14,4
232250,2021-07-10 20:00:00,10,5
199345,2022-02-05 20:00:00,30,60
937260,2024-01-13 12:00:00,51,2
223314,2024-10-31 13:00:00,30,89
1051455,2024-01-28 12:00:00,90,0
606116,2025-03-20 05:00:00,33,1
75091,2025-03-28 18:00:00,97,10
287556,2023-07-04 05:00:00,11,6
625539,2023-02-07 11:00:00,14,79
250842,2023-08-24 12:00:00,10,412
10026,2022-02-22 18:00:00,21,30
854513,2023-04-02 19:00:00,18,2
77105,2021-02-20 15:00:00,80,64
512389,2023-03-08 00:00:00,3,12
947034,2025-02-23 18:00:00,51,1
17597,2023-01-04 05:00:00,21,3
43765,2021-08-31 12:00:00,97,5
47256,2022-01-23 23:00:00,97,5
570214,2021-02-13 07:00:00,33,0
599387,2024-06-12 20:00:00,33,2
74829,2025-03-17 20:00:00,97,13
947780,2025-03-26 20:00:00,51,0
87869,2022-05-15 03:00:00,80,42
642424,2025-01-11 00:00:00,14,4
581807,2022-06-11 08:00:00,33,0
135502,2023-06-22 19:00:00,70,145
1003267,2022-11-27 17:00:00,38,0
782657,2023-09-17 21:00:00,24,13
245311,2023-01-06 01:00:00,10,20
222389,2024-09-23 00:00:00,30,67
788995,2024-06-07 23:00:00,24,11
918862,2021-12-07 22:00:00,51,10
66994,2024-04-25 09:00:00,97,12
1066232,2021-06-07 04:00:00,94,0
1081617,2023-03-10 05:00:00,94,0
504562,2022-04-15 21:00:00,3,12
117950,2021-06-21 11:00:00,70,14
604524,2025-01-12 21:00:00,33,5
255099,2024-02-17 21:00:00,10,13
857080,2023-07-18 18:00:00,18,21
338623,2024-12-31 23:00:00,20,13
697246,2022-08-17 04:00:00,4,0
365214,2023-09-15 21:00:00,60,8
95107,2023-03-12 17:00:00,80,63
429712,2022-05-29 05:00:00,13,2
852168,2022-12-26 02:00:00,18,1
1068709,2021-09-18 09:00:00,94,0
465735,2022-03-10 03:00:00,99,2
846920,2022-05-21 10:00:00,18,5
599048,2024-05-29 17:00:00,33,9
387674,2021-12-09 16:00:00,6,80
312556,2022-01-10 20:00:00,20,10
967762,2023-03-09 09:00:00,65,0
598492,2024-05-06 13:00:00,33,16
323744,2023-04-22 00:00:00,20,10
70046,2024-08-30 13:00:00,97,16
504856,2022-04-28 03:00:00,3,38
774211,2022-09-30 23:00:00,24,7
669137,2023-10-01 00:00:00,56,7
1067849,2021-08-13 13:00:00,94,0
1013225,2024-01-16 15:00:00,38,0
642673,2025-01-21 09:00:00,14,40
456074,2021-01-31 14:00:00,99,4
418249,2021-02-05 14:00:00,13,55
1079706,2022-12-20 14:00:00,94,0
559780,2024-04-04 14:00:00,9,11
955113,2021-09-28 08:00:00,65,0
1007475,2023-05-22 01:00:00,38,0
188719,2025-03-20 03:00:00,50,83
11189,2022-04-12 05:00:00,21,4
864778,2024-06-03 12:00:00,18,39
1091524,2024-04-26 00:00:00,94,0
960437,2022-05-08 04:00:00,65,0
13490,2022-07-17 02:00:00,21,1
537981,2021-10-09 07:00:00,9,1
840430,2021-08-24 00:00:00,18,4
856078,2023-06-07 00:00:00,18,19
226961,2025-04-01 12:00:00,30,85
4245,2021-06-26 21:00:00,21,1
1028901,2021-07-02 18:00:00,90,0
862383,2024-02-24 17:00:00,18,4
570111,2021-02-09 00:00:00,33,15
1058368,2024-11-11 13:00:00,90,0
312736,2022-01-18 08:00:00,20,62
196165,2021-09-26 08:00:00,30,71
505383,2022-05-20 02:00:00,3,27
789780,2024-07-10 16:00:00,24,36
769109,2022-03-02 09:00:00,24,34
289605,2023-09-27 14:00:00,11,327
875813,2021-05-09 06:00:00,8,1
